PrivacyPrefID,UserID,OptInMarketing,OptInDataSharing
PRV155,USR6404,False,False
PRV156,USR9581,False,True
PRV157,USR9808,False,True
PRV158,USR1073,False,False
PRV159,USR77,True,True
PRV160,USR5087,False,False
PRV161,USR1834,True,False
PRV162,USR1863,True,True
PRV163,USR8719,True,False
PRV164,USR3898,True,False
PRV165,USR8533,False,False
PRV166,USR5435,True,True
PRV167,USR9005,False,True
PRV168,USR3458,False,False
PRV169,USR9894,True,True
PRV170,USR8420,True,False
PRV171,USR9289,True,True
PRV172,USR201,True,True
PRV173,USR5714,False,False
PRV174,USR5691,False,True
PRV175,USR9071,True,False
PRV176,USR1021,False,False
PRV177,USR9834,False,False
PRV178,USR5382,False,False
PRV179,USR3105,False,False
PRV180,USR3825,True,False
PRV181,USR4038,False,True
PRV182,USR7877,True,False
PRV183,USR1840,False,False
PRV184,USR4192,False,False
PRV185,USR5417,False,True
PRV186,USR8601,True,True
PRV187,USR927,True,False
PRV188,USR8982,False,True
PRV189,USR5491,False,True
PRV190,USR7646,False,True
PRV191,USR354,True,True
PRV192,USR9529,False,True
PRV193,USR7845,False,False
PRV194,USR9777,True,False
PRV195,USR6930,False,True
PRV196,USR6528,True,True
PRV197,USR4804,False,True
PRV198,USR4858,True,True
PRV199,USR5415,True,True
PRV200,USR2137,True,True
PRV201,USR9789,True,False
PRV202,USR4720,False,False
PRV203,USR2029,False,False
PRV204,USR2101,True,False
PRV205,USR8374,True,False
PRV206,USR7013,False,True
PRV207,USR5954,True,False
PRV208,USR4502,False,True
PRV209,USR939,False,False
PRV210,USR1158,True,False
PRV211,USR5222,True,True
PRV212,USR5699,False,False
PRV213,USR8791,False,True
PRV214,USR4986,True,True
PRV215,USR3711,False,False
PRV216,USR4730,True,True
PRV217,USR2129,False,True
PRV218,USR2353,True,False
PRV219,USR5063,False,True
PRV220,USR4097,False,True
PRV221,USR4440,False,True
PRV222,USR3876,True,True
PRV223,USR7036,False,False
PRV224,USR6079,True,False
PRV225,USR2769,True,True
PRV226,USR8063,True,False
PRV227,USR833,False,True
PRV228,USR685,False,False
PRV229,USR8952,True,False
PRV230,USR5865,True,False
PRV231,USR3074,True,True
PRV232,USR2915,True,True
PRV233,USR1185,False,False
PRV234,USR2148,True,True
PRV235,USR8315,False,False
PRV236,USR7756,True,True
PRV237,USR3818,True,True
PRV238,USR542,True,False
PRV239,USR4565,False,False
PRV240,USR7662,True,True
PRV241,USR6212,False,False
PRV242,USR6390,True,True
PRV243,USR8711,False,True
PRV244,USR3012,False,True
PRV245,USR1639,True,True
PRV246,USR4122,True,False
PRV247,USR6440,False,True
PRV248,USR1479,False,False
PRV249,USR1803,True,False
PRV250,USR5344,False,False
PRV251,USR3428,True,False
PRV252,USR9111,False,True
PRV253,USR6246,True,False
PRV254,USR5584,False,False
PRV255,USR6895,True,False
PRV256,USR4509,True,True
PRV257,USR4370,False,False
PRV258,USR9642,True,False
PRV259,USR5951,True,False
PRV260,USR1302,False,True
PRV261,USR893,True,True
PRV262,USR996,False,True
PRV263,USR3053,True,True
PRV264,USR5833,False,False
PRV265,USR4593,False,True
PRV266,USR7963,False,True
PRV267,USR9112,False,False
PRV268,USR3287,False,True
PRV269,USR2747,False,False
PRV270,USR5600,True,True
PRV271,USR3532,True,True
PRV272,USR4720,True,False
PRV273,USR1674,True,False
PRV274,USR1333,False,True
PRV275,USR6895,False,False
PRV276,USR1269,True,False
PRV277,USR7388,False,True
PRV278,USR4785,True,True
PRV279,USR1010,False,True
PRV280,USR4448,False,False
PRV281,USR8940,True,False
PRV282,USR4462,False,False
PRV283,USR1378,False,True
PRV284,USR9113,True,False
PRV285,USR7003,False,False
PRV286,USR7277,False,False
PRV287,USR9566,False,True
PRV288,USR9491,True,True
PRV289,USR6817,True,False
PRV290,USR2733,True,True
PRV291,USR5010,True,False
PRV292,USR7043,False,False
PRV293,USR9982,True,False
PRV294,USR5951,True,False
PRV295,USR700,False,True
PRV296,USR8712,False,False
PRV297,USR1176,True,False
PRV298,USR648,False,False
PRV299,USR4481,False,True
PRV300,USR8486,True,False
PRV301,USR3183,False,False
PRV302,USR8424,True,True
PRV303,USR8348,True,False
PRV304,USR8960,False,False
PRV305,USR1972,True,True
PRV306,USR9435,False,True
PRV307,USR1414,False,True
PRV308,USR2763,True,False
PRV309,USR1476,False,False
PRV310,USR6899,True,False
PRV311,USR5724,True,False
PRV312,USR3551,False,False
PRV313,USR800,False,False
PRV314,USR7651,False,False
PRV315,USR7876,True,False
PRV316,USR4976,True,False
PRV317,USR1677,False,False
PRV318,USR7516,False,False
PRV319,USR253,False,False
PRV320,USR5440,True,False
PRV321,USR4430,False,False
PRV322,USR2671,False,True
PRV323,USR5732,False,True
PRV324,USR3834,True,False
PRV325,USR7218,True,False
PRV326,USR640,False,True
PRV327,USR3144,False,False
PRV328,USR4695,True,True
PRV329,USR4974,True,True
PRV330,USR8817,True,False
PRV331,USR7952,False,True
PRV332,USR6521,False,False
PRV333,USR9161,True,True
PRV334,USR5019,True,True
PRV335,USR2394,False,False
PRV336,USR299,True,False
PRV337,USR7246,True,False
PRV338,USR2325,False,True
PRV339,USR1492,False,False
PRV340,USR7680,True,True
PRV341,USR4431,True,False
PRV342,USR881,True,False
PRV343,USR6093,False,True
PRV344,USR5578,True,False
PRV345,USR3959,True,True
PRV346,USR7292,False,True
PRV347,USR6313,True,True
PRV348,USR1671,False,True
PRV349,USR1790,False,False
PRV350,USR8758,True,False
PRV351,USR5128,True,True
PRV352,USR6249,True,False
PRV353,USR5059,False,True
PRV354,USR1357,True,False
PRV355,USR3719,True,True
PRV356,USR9090,False,True
PRV357,USR8010,False,False
PRV358,USR8337,False,False
PRV359,USR2716,True,False
PRV360,USR663,False,False
PRV361,USR3023,False,True
PRV362,USR6183,False,False
PRV363,USR2219,True,False
PRV364,USR9385,False,True
PRV365,USR9423,True,True
PRV366,USR8365,True,False
PRV367,USR1832,False,True
PRV368,USR9109,True,True
PRV369,USR8517,False,True
PRV370,USR3972,True,False
PRV371,USR1550,True,True
PRV372,USR2456,False,False
PRV373,USR9216,True,True
PRV374,USR3236,False,False
PRV375,USR6474,True,True
PRV376,USR6798,True,False
PRV377,USR1028,False,False
PRV378,USR3380,True,True
PRV379,USR9377,True,False
PRV380,USR1358,False,True
PRV381,USR8970,False,False
PRV382,USR220,False,False
PRV383,USR4935,False,True
PRV384,USR5458,False,False
PRV385,USR2163,True,True
PRV386,USR9945,False,False
PRV387,USR1411,True,True
PRV388,USR5130,False,True
PRV389,USR6187,True,False
PRV390,USR723,True,False
PRV391,USR8885,True,False
PRV392,USR4116,True,False
PRV393,USR3187,False,False
PRV394,USR2983,False,True
PRV395,USR7370,False,True
PRV396,USR414,False,True
PRV397,USR745,False,False
PRV398,USR9846,True,False
PRV399,USR8364,True,True
PRV400,USR7146,False,False
PRV401,USR5162,False,False
PRV402,USR1820,True,False
PRV403,USR7570,True,False
PRV404,USR5569,True,True
PRV405,USR1577,True,True
PRV406,USR7713,True,True
PRV407,USR5396,False,False
PRV408,USR4831,False,False
PRV409,USR7767,False,False
PRV410,USR6659,False,False
PRV411,USR6231,False,True
PRV412,USR4275,True,False
PRV413,USR9451,False,True
PRV414,USR6499,False,False
PRV415,USR1472,False,True
PRV416,USR8193,False,False
PRV417,USR8713,False,True
PRV418,USR9358,False,True
PRV419,USR36,False,True
PRV420,USR9024,False,True
PRV421,USR369,False,False
PRV422,USR505,False,True
PRV423,USR7582,False,True
PRV424,USR1873,False,True
PRV425,USR212,True,False
PRV426,USR940,False,True
PRV427,USR5059,False,True
PRV428,USR8951,False,False
PRV429,USR5401,True,False
PRV430,USR3562,True,False
PRV431,USR4931,False,False
PRV432,USR4753,False,True
PRV433,USR9017,True,False
PRV434,USR9109,True,False
PRV435,USR1185,True,True
PRV436,USR6915,True,False
PRV437,USR7454,False,True
PRV438,USR8720,False,True
PRV439,USR8931,False,True
PRV440,USR5238,False,False
PRV441,USR3840,False,False
PRV442,USR6906,False,True
PRV443,USR726,True,False
PRV444,USR417,True,True
PRV445,USR23,False,False
PRV446,USR6127,True,True
PRV447,USR9644,True,False
PRV448,USR4924,True,True
PRV449,USR5775,True,True
PRV450,USR3849,False,True
PRV451,USR5109,False,False
PRV452,USR6710,False,False
PRV453,USR4418,False,False
PRV454,USR2527,False,True
PRV455,USR9806,False,True
PRV456,USR3516,False,False
PRV457,USR8064,False,False
PRV458,USR6112,False,False
PRV459,USR3797,True,True
PRV460,USR1061,True,False
PRV461,USR9152,True,False
PRV462,USR4774,True,False
PRV463,USR3907,True,False
PRV464,USR9274,False,True
PRV465,USR2371,True,False
PRV466,USR6420,True,True
PRV467,USR5147,True,False
PRV468,USR3418,False,True
PRV469,USR3817,True,True
PRV470,USR7581,True,True
PRV471,USR6586,False,True
PRV472,USR1117,False,True
PRV473,USR1082,False,True
PRV474,USR9093,True,False
PRV475,USR3728,False,False
PRV476,USR5949,False,False
PRV477,USR9172,True,False
PRV478,USR7853,True,False
PRV479,USR1333,False,True
PRV480,USR8261,True,True
PRV481,USR392,True,True
PRV482,USR3499,False,True
PRV483,USR618,True,True
PRV484,USR3894,False,False
PRV485,USR8950,False,True
PRV486,USR1462,True,True
PRV487,USR4721,True,True
PRV488,USR4708,False,True
PRV489,USR6660,False,False
PRV490,USR3177,True,False
PRV491,USR2252,False,False
PRV492,USR4674,True,False
PRV493,USR7592,False,True
PRV494,USR3988,False,False
PRV495,USR2179,False,False
PRV496,USR5439,False,True
PRV497,USR3388,True,False
PRV498,USR9524,False,True
PRV499,USR2435,False,False
PRV500,USR8753,False,False
PRV501,USR3676,True,False
PRV502,USR8718,False,False
PRV503,USR5685,False,True
PRV504,USR6826,True,True
PRV505,USR5231,False,False
PRV506,USR7306,True,False
PRV507,USR3715,False,True
PRV508,USR9095,False,True
PRV509,USR1868,False,False
PRV510,USR5351,False,False
PRV511,USR8780,True,False
PRV512,USR7255,False,True
PRV513,USR3146,True,False
PRV514,USR3344,True,False
PRV515,USR2293,True,False
PRV516,USR5887,True,False
PRV517,USR6729,True,False
PRV518,USR1277,False,False
PRV519,USR7934,True,True
PRV520,USR1413,False,True
PRV521,USR7687,True,True
PRV522,USR2344,False,False
PRV523,USR2076,True,True
PRV524,USR7680,True,True
PRV525,USR5788,False,True
PRV526,USR6484,False,True
PRV527,USR66,False,False
PRV528,USR1173,True,False
PRV529,USR9087,True,False
PRV530,USR1536,False,False
PRV531,USR7858,True,True
PRV532,USR5246,False,True
PRV533,USR1833,True,False
PRV534,USR7425,False,False
PRV535,USR1184,True,True
PRV536,USR7217,False,True
PRV537,USR4464,False,False
PRV538,USR3756,False,True
PRV539,USR1919,False,False
PRV540,USR7917,True,False
PRV541,USR9669,True,False
PRV542,USR9724,True,True
PRV543,USR7275,False,False
PRV544,USR4922,True,False
PRV545,USR5593,True,False
PRV546,USR519,False,False
PRV547,USR8541,False,True
PRV548,USR2776,False,True
PRV549,USR2999,True,True
PRV550,USR5302,True,False
PRV551,USR1630,True,False
PRV552,USR703,False,True
PRV553,USR1521,True,False
PRV554,USR4580,False,True
PRV555,USR6490,False,False
PRV556,USR5721,False,True
PRV557,USR3567,False,False
PRV558,USR306,True,True
PRV559,USR522,True,False
PRV560,USR6996,False,True
PRV561,USR4738,False,False
PRV562,USR8611,False,False
PRV563,USR1590,False,False
PRV564,USR3460,False,False
PRV565,USR2533,False,True
PRV566,USR438,True,True
PRV567,USR1381,True,True
PRV568,USR1988,True,False
PRV569,USR9552,True,False
PRV570,USR8463,True,False
PRV571,USR5578,True,False
PRV572,USR7317,True,False
PRV573,USR7725,False,True
PRV574,USR9493,False,True
PRV575,USR9468,False,False
PRV576,USR9254,True,False
PRV577,USR3315,False,False
PRV578,USR1239,True,True
PRV579,USR8970,True,False
PRV580,USR2409,True,False
PRV581,USR5483,False,True
PRV582,USR9979,True,True
PRV583,USR8196,True,False
PRV584,USR2134,False,True
PRV585,USR5273,True,True
PRV586,USR3320,False,False
PRV587,USR6906,False,False
PRV588,USR4923,True,False
PRV589,USR2432,False,True
PRV590,USR9695,False,True
PRV591,USR372,True,False
PRV592,USR1251,False,False
PRV593,USR3591,True,True
PRV594,USR4026,True,False
PRV595,USR5755,False,False
PRV596,USR4049,False,False
PRV597,USR2040,False,False
PRV598,USR9209,False,False
PRV599,USR6663,True,True
PRV600,USR6993,True,False
PRV601,USR806,False,False
PRV602,USR8222,True,True
PRV603,USR4067,False,False
PRV604,USR9368,False,False
PRV605,USR8988,False,False
PRV606,USR9505,True,False
PRV607,USR3921,False,False
PRV608,USR8132,False,False
PRV609,USR4578,True,False
PRV610,USR4670,False,True
PRV611,USR1572,False,False
PRV612,USR8689,False,False
PRV613,USR7915,False,False
PRV614,USR1435,False,True
PRV615,USR3540,True,True
PRV616,USR2783,False,False
PRV617,USR3134,False,True
PRV618,USR6390,True,True
PRV619,USR1660,False,True
PRV620,USR4779,True,True
PRV621,USR3760,True,False
PRV622,USR5739,True,True
PRV623,USR555,False,False
PRV624,USR291,False,True
PRV625,USR6093,True,False
PRV626,USR929,False,True
PRV627,USR1635,True,False
PRV628,USR3960,False,False
PRV629,USR5804,False,False
PRV630,USR6681,False,True
PRV631,USR5159,False,True
PRV632,USR3369,False,True
PRV633,USR6421,False,False
PRV634,USR2502,False,True
PRV635,USR6282,True,False
PRV636,USR957,False,False
PRV637,USR7260,False,False
PRV638,USR2947,False,True
PRV639,USR9772,False,False
PRV640,USR5555,False,False
PRV641,USR2187,True,True
PRV642,USR6499,True,False
PRV643,USR6755,False,True
PRV644,USR2469,True,False
PRV645,USR6706,True,False
PRV646,USR7443,True,True
PRV647,USR8667,True,True
PRV648,USR4963,True,True
PRV649,USR240,True,False
PRV650,USR5879,True,False
PRV651,USR4996,False,False
PRV652,USR2100,False,False
PRV653,USR521,False,True
PRV654,USR7473,False,True
PRV655,USR4469,False,True
PRV656,USR8846,False,True
PRV657,USR5935,True,True
PRV658,USR945,True,True
PRV659,USR3316,True,False
PRV660,USR5510,False,True
PRV661,USR7126,True,True
PRV662,USR7604,True,True
PRV663,USR8351,False,True
PRV664,USR5237,False,True
PRV665,USR9397,True,False
PRV666,USR3729,True,False
PRV667,USR982,False,True
PRV668,USR4161,True,True
PRV669,USR3809,False,False
PRV670,USR3703,False,True
PRV671,USR4894,True,True
PRV672,USR2956,True,True
PRV673,USR934,False,True
PRV674,USR1200,False,False
PRV675,USR1365,True,False
PRV676,USR4528,True,True
PRV677,USR7186,False,False
PRV678,USR8745,False,False
PRV679,USR6315,True,True
PRV680,USR6818,True,True
PRV681,USR7478,True,True
PRV682,USR3730,False,True
PRV683,USR9804,True,False
PRV684,USR7977,False,True
PRV685,USR3998,False,True
PRV686,USR79,False,False
PRV687,USR9771,False,True
PRV688,USR2224,False,True
PRV689,USR3564,True,True
PRV690,USR2628,True,False
PRV691,USR826,True,True
PRV692,USR5150,False,False
PRV693,USR2827,False,True
PRV694,USR3242,True,True
PRV695,USR9750,True,False
PRV696,USR7873,False,False
PRV697,USR8463,True,True
PRV698,USR3781,True,False
PRV699,USR1250,False,True
PRV700,USR871,True,True
PRV701,USR1579,True,False
PRV702,USR1563,False,False
PRV703,USR4823,False,False
PRV704,USR633,True,False
PRV705,USR9736,True,False
PRV706,USR1975,True,True
PRV707,USR8351,True,False
PRV708,USR2505,True,True
PRV709,USR2950,True,False
PRV710,USR5179,False,False
PRV711,USR2817,False,True
PRV712,USR7361,False,False
PRV713,USR7992,False,True
PRV714,USR3549,False,False
PRV715,USR1575,False,True
PRV716,USR7022,False,False
PRV717,USR5312,False,True
PRV718,USR7929,True,False
PRV719,USR7530,True,True
PRV720,USR4483,True,True
PRV721,USR5014,True,False
PRV722,USR5056,False,False
PRV723,USR6417,True,True
PRV724,USR9650,True,False
PRV725,USR727,True,True
PRV726,USR6046,False,False
PRV727,USR2840,False,True
PRV728,USR5105,True,False
PRV729,USR3428,False,True
PRV730,USR3706,True,True
PRV731,USR3039,True,False
PRV732,USR3710,False,False
PRV733,USR6844,False,True
PRV734,USR6941,False,False
PRV735,USR4990,False,False
PRV736,USR6057,True,False
PRV737,USR5606,True,True
PRV738,USR6470,True,False
PRV739,USR3855,False,True
PRV740,USR9558,True,False
PRV741,USR3967,True,False
PRV742,USR6904,False,False
PRV743,USR3892,False,True
PRV744,USR3085,False,True
PRV745,USR2837,True,True
PRV746,USR7834,True,False
PRV747,USR9641,True,False
PRV748,USR1029,False,True
PRV749,USR1399,True,True
PRV750,USR8203,True,False
PRV751,USR2724,False,False
PRV752,USR4649,True,False
PRV753,USR5447,True,True
PRV754,USR386,True,False
PRV755,USR979,True,False
PRV756,USR6600,False,False
PRV757,USR8253,False,True
PRV758,USR873,True,True
PRV759,USR6492,True,True
PRV760,USR9167,True,True
PRV761,USR2922,True,False
PRV762,USR5517,False,False
PRV763,USR4866,True,True
PRV764,USR543,True,False
PRV765,USR2677,False,False
PRV766,USR4783,True,False
PRV767,USR4585,False,True
PRV768,USR4073,False,True
PRV769,USR8029,False,False
PRV770,USR6024,True,False
PRV771,USR2989,False,True
PRV772,USR4130,False,True
PRV773,USR4983,True,False
PRV774,USR5081,False,True
PRV775,USR4648,False,True
PRV776,USR1186,True,True
PRV777,USR3395,True,True
PRV778,USR6712,False,False
PRV779,USR9069,True,True
PRV780,USR5227,True,False
PRV781,USR5368,True,False
PRV782,USR979,True,False
PRV783,USR9131,True,True
PRV784,USR7894,True,False
PRV785,USR1151,False,False
PRV786,USR8332,True,True
PRV787,USR3048,False,False
PRV788,USR9153,False,False
PRV789,USR6874,True,True
PRV790,USR4769,False,True
PRV791,USR897,True,False
PRV792,USR6695,False,True
PRV793,USR5694,True,True
PRV794,USR1513,True,True
PRV795,USR7270,False,True
PRV796,USR5081,True,True
PRV797,USR4188,True,False
PRV798,USR1284,True,True
PRV799,USR6906,False,True
PRV800,USR4047,True,True
PRV801,USR7550,True,True
PRV802,USR7371,True,False
PRV803,USR4516,False,False
PRV804,USR4177,False,False
PRV805,USR5784,False,True
PRV806,USR6748,True,False
PRV807,USR5273,True,False
PRV808,USR4112,False,True
PRV809,USR3791,False,True
PRV810,USR404,False,True
PRV811,USR1250,False,False
PRV812,USR8874,True,False
PRV813,USR4669,False,True
PRV814,USR6068,True,False
PRV815,USR9850,True,False
PRV816,USR1401,True,False
PRV817,USR2473,False,True
PRV818,USR2765,False,False
PRV819,USR5150,False,True
PRV820,USR9585,False,False
PRV821,USR1808,False,True
PRV822,USR3973,True,False
PRV823,USR6099,False,True
PRV824,USR8605,False,False
PRV825,USR6706,False,True
PRV826,USR880,True,False
PRV827,USR3119,True,False
PRV828,USR7586,True,False
PRV829,USR6749,False,True
PRV830,USR9833,False,False
PRV831,USR8066,True,False
PRV832,USR5554,False,False
PRV833,USR6735,False,True
PRV834,USR4510,True,True
PRV835,USR1427,True,True
PRV836,USR8912,True,True
PRV837,USR9168,True,True
PRV838,USR5863,True,False
PRV839,USR850,False,False
PRV840,USR2061,False,False
PRV841,USR1034,True,False
PRV842,USR3635,False,False
PRV843,USR7865,False,False
PRV844,USR6599,False,True
PRV845,USR9548,True,True
PRV846,USR8787,True,False
PRV847,USR2974,False,True
PRV848,USR9084,False,False
PRV849,USR8987,False,False
PRV850,USR321,True,False
PRV851,USR9914,True,False
PRV852,USR3222,False,False
PRV853,USR1147,False,True
PRV854,USR5263,True,False
PRV855,USR1663,True,True
PRV856,USR6240,True,True
PRV857,USR6123,True,False
PRV858,USR7992,True,True
PRV859,USR2047,False,True
PRV860,USR5977,True,True
PRV861,USR7337,True,True
PRV862,USR5490,True,False
PRV863,USR9083,False,False
PRV864,USR6729,False,False
PRV865,USR9240,True,True
PRV866,USR4945,False,False
PRV867,USR5284,True,True
PRV868,USR4981,True,False
PRV869,USR611,False,True
PRV870,USR8223,True,True
PRV871,USR4706,True,False
PRV872,USR626,True,False
PRV873,USR2349,True,True
PRV874,USR6663,False,True
PRV875,USR8658,False,True
PRV876,USR2287,False,False
PRV877,USR5941,False,False
PRV878,USR5819,False,False
PRV879,USR4670,False,False
PRV880,USR2080,False,True
PRV881,USR7503,True,True
PRV882,USR4470,True,True
PRV883,USR8015,True,False
PRV884,USR6661,True,True
PRV885,USR2159,True,True
PRV886,USR4444,False,False
PRV887,USR3784,False,True
PRV888,USR529,True,False
PRV889,USR8954,True,False
PRV890,USR235,True,False
PRV891,USR301,True,False
PRV892,USR927,False,True
PRV893,USR8278,False,False
PRV894,USR2505,True,False
PRV895,USR9596,True,True
PRV896,USR6877,False,True
PRV897,USR4690,False,False
PRV898,USR5279,False,True
PRV899,USR7254,True,False
PRV900,USR9159,False,False
PRV901,USR4946,True,False
PRV902,USR8993,True,False
PRV903,USR7529,False,False
PRV904,USR3777,True,True
PRV905,USR5393,True,True
PRV906,USR4417,True,True
PRV907,USR1257,False,False
PRV908,USR4410,True,True
PRV909,USR2355,False,False
PRV910,USR4956,False,True
PRV911,USR6609,True,True
PRV912,USR4043,True,False
PRV913,USR541,True,True
PRV914,USR4432,True,True
PRV915,USR4088,True,True
PRV916,USR1863,False,True
PRV917,USR7527,False,False
PRV918,USR2760,True,True
PRV919,USR1791,False,False
PRV920,USR8260,True,False
PRV921,USR8755,False,False
PRV922,USR9352,True,False
PRV923,USR7655,False,False
PRV924,USR9785,True,False
PRV925,USR862,True,True
PRV926,USR483,False,True
PRV927,USR9463,True,True
PRV928,USR7068,False,True
PRV929,USR716,True,False
PRV930,USR912,False,True
PRV931,USR1788,True,False
PRV932,USR5573,False,True
PRV933,USR2695,False,True
PRV934,USR4777,False,False
PRV935,USR3382,True,False
PRV936,USR9867,False,True
PRV937,USR9683,False,True
PRV938,USR4500,True,False
PRV939,USR47,False,True
PRV940,USR1471,False,False
PRV941,USR25,True,False
PRV942,USR9802,True,False
PRV943,USR8880,False,False
PRV944,USR9046,True,False
PRV945,USR7303,True,True
PRV946,USR3551,False,True
PRV947,USR7743,False,False
PRV948,USR5857,True,True
PRV949,USR7507,True,False
PRV950,USR3480,False,True
PRV951,USR570,True,False
PRV952,USR7973,False,True
PRV953,USR5106,False,False
PRV954,USR9237,False,True
PRV955,USR6667,True,True
PRV956,USR4651,False,False
PRV957,USR5470,False,False
PRV958,USR4013,False,True
PRV959,USR3580,True,False
PRV960,USR6415,False,False
PRV961,USR8383,True,False
PRV962,USR1916,False,False
PRV963,USR9889,True,True
PRV964,USR1480,True,False
PRV965,USR7368,True,True
PRV966,USR4969,False,False
PRV967,USR5617,False,False
PRV968,USR5916,False,False
PRV969,USR845,False,True
PRV970,USR3508,False,False
PRV971,USR2756,True,False
PRV972,USR9375,True,True
PRV973,USR3507,False,True
PRV974,USR2414,True,False
PRV975,USR473,True,False
PRV976,USR7452,True,False
PRV977,USR9718,False,True
PRV978,USR198,False,True
PRV979,USR9142,True,False
PRV980,USR3283,False,False
PRV981,USR9319,True,True
PRV982,USR7557,False,False
PRV983,USR2416,False,True
PRV984,USR5749,True,False
PRV985,USR2023,False,True
PRV986,USR5866,True,False
PRV987,USR9528,False,False
PRV988,USR6651,True,False
PRV989,USR6251,False,False
PRV990,USR9269,True,True
PRV991,USR4733,True,False
PRV992,USR8440,True,True
PRV993,USR3493,False,False
PRV994,USR1628,True,False
PRV995,USR8518,True,True
PRV996,USR4343,True,False
PRV997,USR6173,False,False
PRV998,USR1199,True,True
PRV999,USR7666,True,True
PRV1000,USR5121,True,False
PRV1001,USR4897,False,False
PRV1002,USR4468,False,False
